Title,Company,Location,Type,Level,YearsExp,Country,Skills,factorized years
.NET Angular Software Developer,Xceed,Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,Software Development  Computer Science  Software Engineering  Agile  ASP.NET MVC  JSON  AJAX  XAML  RAzor,0.0
.NET Back-End Web Developer,Confidential,Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,Computer Science  Software Development  javaScript  ASP.NET  C#  SQL  Agile  OOP  JSON  XML  Back End,1.0
.NET Developer,Beta Electronics,Dokki,Full Time,Experienced,2-5 Yrs of Exp,Giza,C#  Engineering  Computer Science  Programming  Electronics  .NET  Software Development  Problem Solving  Information Technology (IT),1.0
.NET Developer,Dynamicslink,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Microsoft Dynamics  ERP  Computer Science  Software Development  IT  Information Technology (IT)  .NET  C/AL  C/Side,2.0
.NET Developer (Desktop Application),Confidential,Manial,Full Time,Experienced,2-5 Yrs of Exp,Cairo,Information Technology (IT)  .NET  C#  Software Development  SQL  XML  OOP  Design Patterns  LINQ  FTP,1.0
.NET Developer - Internship,IKEN Technology,Maadi,Internship,Entry Level,0-1 Yrs of Exp,Cairo,Computer Science  Information Technology (IT)  Software Development  Programming  Algorithms  ASP.NET  Computer Engineering,3.0
.Net Core Developer,Obeikan Digital Solutions,New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,Computer Science  Information Technology (IT)  C#  MVC  Angular  HTML  .NET Core  OOP  Git  MSSQL  WebAPI  Engineering,4.0
.Net Developer,Egabi FSI,Sheraton,Full Time,Experienced,4-8 Yrs of Exp,Cairo,Information Technology (IT)  Computer Science  ASP.NET  MS SQL Server  javaScript  C#  Entity Framework  Web Services  ADO.NET,5.0
.Net Developer - Alexandria,Confidential,Sidi Gaber,Freelance / Project,Work From Home,3+ Yrs of Exp,Alexandria,4 Vacancies  .NET  SQL  MVC  Xamarin  HTML5  CSS3  javaScript  REST  RPC  Software Engineering  Agile  C#,6.0
.Net Developer-Banha,Z2 Data,Banha,Full Time,Entry Level,1+ Yrs of Exp,Qalubia,MVC  ASP.Net  Information Technology (IT)  Computer Science  C#  javaScript  SQL  jQuery  Web Development  CSS3  XML  HTML5,3.0
